year,geography,asian_nh,black_nh
2015-2017,Ventura,6.442,NA
2000-2002,Yolo,NA,NA
2003-2005,Yolo,NA,NA
2006-2008,Yolo,NA,NA
2009-2011,Yolo,NA,NA
2012-2014,Yolo,NA,NA
2015-2017,Yolo,NA,NA
2006-2008,Yuba,NA,NA
2009-2011,Yuba,NA,NA
2012-2014,Yuba,NA,NA
2015-2017,Yuba,NA,NA
